Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1659.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1832.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1727.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1554.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","2040","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1875.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1450.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1471.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1669.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1481.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","1701.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","1512.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1622.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1929.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1640.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1719.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1813.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","1392.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","1294.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1725.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1584","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","1736.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","1692.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","1660.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1823","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1428.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1527.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1765.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1560","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1774.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1523.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1458.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1763.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1501.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1350","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1598.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1509.8","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1598.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1299.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1237.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1731.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1742.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","1800.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","1800.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1831","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1585.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1536.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1495","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","2200.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","2499.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","2299.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","2399.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","2499.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","2494.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","2599.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","2500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","2147.7","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1820.9","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1388.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1462.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1719.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","2199.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2199.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","2545.5","X","Figure from external organization",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1498.8","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1261.6","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1166.8","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1251.2","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1235.1","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","2101.2","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1786.1","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1170.8","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1285.7","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","2528.3","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1931.4","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","3135.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","2565.7","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","754.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1465.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1007.1","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1331.8","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1407.1","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","1366.7","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","1123.2","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1551.5","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1320.3","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","1239.5","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","1300","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","1625","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1558.4","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1585.6","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1749.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1768.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1648.5","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1597.9","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1599.8","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1634.3","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1907.4","E","Estimated value",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1431.6","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1714","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","731.1","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","2522.8","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1502.5","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1418.5","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","2086.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1479.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1250.3","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1375.9","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1772","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","1378","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","1670.9","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1725.6","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1923.9","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1859.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","2301.3","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","2334.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","2244.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","2069.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","2587.1","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","2741.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","2654.5","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","2538.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","2780.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","3031","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","2481.6","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","2515.1","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","2205.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","2381.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","2540.2","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","2567.4","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","2426.1","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","2299.6","A","Official figure",""
